EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
122415427,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 12:12,3413657,06-May,0,,1,1,1,1001,1,1001,0,0,0
122415359,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 14:57,3413657,06-May,0,,1,1,1,1001,1,1001,0,0,0
122415262,BAGS cards / Sheff 31st Dec,A3 500m,31/12/2015 13:12,4137406,4. Frantic Times,0,13.21113036,1,1,1,1001,1,1001,0,0,0
122415363,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 16:18,6953192,01-May,0,,1,1,1,1001,1,1001,0,0,0
122415359,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 14:57,6953192,01-May,0,,1,1,1,1001,1,1001,0,0,0
122415258,BAGS cards / Sheff 31st Dec,D4 280m,31/12/2015 12:42,7268242,4. Stepaside Razzel,0,17.63972381,1,1,1,1001,1,1001,0,0,0
122415288,BAGS cards / Romfd 31st Dec,A2 400m,31/12/2015 14:47,7305992,3. Selina May,0,7,1,1,1,1001,1,1001,0,0,0
122415311,BAGS cards / Crayfd 31st Dec,A2 380m,31/12/2015 14:57,8256653,5. Knockmoy Jack,0,8.4,1,1,1,1001,1,1001,0,0,0
122415303,BAGS cards / Crayfd 31st Dec,A4 380m,31/12/2015 13:38,8836771,1. Prideofouralley,0,3.452470621,1,1,1,1001,1,1001,0,0,0
122415225,BAGS cards / Sund 31st Dec,HC 450m,31/12/2015 11:34,8822099,1. Holdem Stud,0,4.5,1,1,1,1001,1,1001,0,0,0
101365932,AUS / Warr (AUS) 31st Dec,R5 450m Gr5,31/12/2015 08:22,8771878,4. Bush Courage,0,4.1,1,3.492747208,1,1001,1,1001,985,0,0
122415280,BAGS cards / Romfd 31st Dec,A8 400m,31/12/2015 13:33,9036572,1. Bersheda Diva,1,5.31646899,1,1,1,1001,1,1001,0,0,0
101365819,AUS / Mand (AUS) 31st Dec,R7 302m FFA,31/12/2015 12:47,9061992,3. Foolish Lakoda,0,13.5688841,1,1,1,1001,1,1001,0,0,0
101365717,AUS / Hoba (AUS) 31st Dec,R8 340m FFA,31/12/2015 10:57,9154578,3. Go Minnie Go,0,8.113005212,1,7.120456257,1,1001,1,1001,531.28,0,0
101365821,AUS / Mand (AUS) 31st Dec,R8 490m Gr5,31/12/2015 13:02,9255779,5. Flash Fable,0,3.525,1,1,1,1001,1,1001,0,0,0
101365719,AUS / Hoba (AUS) 31st Dec,R9 461m Mdn,31/12/2015 11:22,9363197,1. Shimmy It,0,13,1,1,1,1001,1,1001,0,0,0
101365775,AUS / APrk (AUS) 31st Dec,R6 600m Gr4/5,31/12/2015 10:26,9418086,3. Sarajevo Girl,0,16,1,15.65452612,1,1001,1,1001,150.46,0,0
122415264,BAGS cards / Sheff 31st Dec,A3 500m,31/12/2015 13:27,9508523,5. Smudgey,0,4.7,1,1,1,1001,1,1001,0,0,0
122415233,BAGS cards / Sund 31st Dec,A1 450m,31/12/2015 12:32,9405556,4. Farnes Fama,0,15,1,1,1,1001,1,1001,0,0,0
122415319,BAGS cards / Crayfd 31st Dec,S4 540m,31/12/2015 16:18,9533333,2. Stunning Jojo,0,6.4,1,1,1,1001,1,1001,0,0,0
122415319,BAGS cards / Crayfd 31st Dec,S4 540m,31/12/2015 16:18,10401464,5. Purple Peg,0,6.8,1,1,1,1001,1,1001,0,0,0
101365944,AUS / Warr (AUS) 31st Dec,R11 390m Gr6/7,31/12/2015 10:36,10394758,7. Woolly Warbo,0,2.18,1,1.951926948,1,1001,1,1001,3157.74,0,0
122415309,BAGS cards / Crayfd 31st Dec,S5 540m,31/12/2015 14:37,10280413,2. Ballybee Ocean,0,4.8,1,1,1,1001,1,1001,0,0,0
101365749,AUS / Mait (AUS) 31st Dec,R4 400m Mdn,31/12/2015 05:40,10494188,2. Kevy Shybow,0,11,1,10.40406696,1,1001,1,1001,228.18,0,0
101365942,AUS / Warr (AUS) 31st Dec,R10 390m Mdn,31/12/2015 10:11,10675184,7. Silverdust,1,23,1,23.12817617,1,1001,1,1001,106.26,0,0
101365709,AUS / Hoba (AUS) 31st Dec,R4 461m Gr6,31/12/2015 09:33,10675207,1. Big Kid,1,5.3,1,4.997303135,1,1001,1,1001,935.16,0,0
101365753,AUS / Mait (AUS) 31st Dec,R6 400m Gr5,31/12/2015 06:20,10675285,5. Extreme Quality,0,28.84064928,1,18.72172808,1,1001,1,1001,47.22,0,0
101365767,AUS / APrk (AUS) 31st Dec,R2 520m Nvce,31/12/2015 09:00,10675332,4. Not Anotha Ginga,0,83.01800243,1,46.33091286,1,1001,1,1001,19.28,0,0
